antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Region_East'}),frozenset({'Yield_tons_per_hectare_Medium'}),0.24994,0.73156,0.18271,0.7310154437064896,0.999255623197673,1.0,-0.00013610639999997454,0.9979755109326197,-0.0009921769035443942,0.2287334593572779,-0.0020285959376782764,0.490384697084258
frozenset({'Region_North'}),frozenset({'Yield_tons_per_hectare_Medium'}),0.24924,0.73156,0.18125,0.7272107205905954,0.9940547878377651,1.0,-0.0010840143999999996,0.9840562670981028,-0.007903326142364466,0.22669001313238696,-0.01620205412533359,0.48748446795564
frozenset({'Region_South'}),frozenset({'Yield_tons_per_hectare_Medium'}),0.24914,0.73156,0.18263,0.7330416633218271,1.0020253476431558,1.0,0.00036914159999998364,1.0055501668921967,0.002691918468596635,0.22883957547583542,0.005519532565292381,0.49134312921682144
frozenset({'Region_West'}),frozenset({'Yield_tons_per_hectare_Medium'}),0.25168,0.73156,0.18497,0.7349411951684678,1.0046218972722234,1.0,0.0008509791999999905,1.0127563963423771,0.00614794956203502,0.23171358061808658,0.012595720341483381,0.4938922171369705
frozenset({'Soil_Type_Chalky'}),frozenset({'Yield_tons_per_hectare_Medium'}),0.16715,0.73156,0.12245,0.7325755309602154,1.0013881717975497,1.0,0.00016974600000001228,1.0037974496644297,0.001664462325674532,0.1577435395357226,0.003783083594901838,0.44997878193808794
frozenset({'Soil_Type_Clay'}),frozenset({'Yield_tons_per_hectare_Medium'}),0.16642,0.73156,0.12208,0.7335656772022593,1.0027416441607788,1.0,0.00033378479999998656,1.0075278484438428,0.003280006837504145,0.15733986338445674,0.007471603346220026,0.45022097081174806
frozenset({'Soil_Type_Loam'}),frozenset({'Yield_tons_per_hectare_Medium'}),0.16452,0.73156,0.11929,0.725079017748602,0.9911408739523784,1.0,-0.0010662512000000068,0.9764260181295599,-0.010585170351965715,0.1535678883610757,-0.024143131617486355,0.4440707571656236
frozenset({'Soil_Type_Peaty'}),frozenset({'Yield_tons_per_hectare_Medium'}),0.16697,0.73156,0.12213,0.7314487632508834,0.9998479458293009,1.0,-1.8573199999996626e-05,0.9995857894736841,-0.0001825258833936425,0.15730293663060277,-0.000414382167771631,0.4491966873830009
frozenset({'Soil_Type_Sandy'}),frozenset({'Yield_tons_per_hectare_Medium'}),0.16731,0.73156,0.12251,0.7322335783874245,1.0009207425056381,1.0,0.00011269640000000081,1.002515544642857,0.0011047274720882576,0.15780050492039777,0.0025092325563423664,0.4498488139080214
frozenset({'Soil_Type_Silt'}),frozenset({'Yield_tons_per_hectare_Medium'}),0.16763,0.73156,0.1231,0.7343554256398019,1.0038211843728497,1.0,0.0004685972000000038,1.0105231798787335,0.004573252886673343,0.15861562447654268,0.010413595737602263,0.4513129853881114
frozenset({'Crop_Barley'}),frozenset({'Yield_tons_per_hectare_Medium'}),0.16462,0.73156,0.12096,0.7347831369213947,1.0044058408351944,1.0,0.0005305928000000071,1.0121528355474119,0.005250921197855597,0.15603312608033848,0.01200691745416016,0.45006421321984225
frozenset({'Crop_Cotton'}),frozenset({'Yield_tons_per_hectare_Medium'}),0.16717,0.73156,0.1226,0.7333851767661661,1.0024949105557523,1.0,0.000305114799999992,1.0068457437738387,0.00298824666281134,0.15796322780977415,0.006799198205059285,0.4504861254818856
frozenset({'Crop_Maize'}),frozenset({'Yield_tons_per_hectare_Medium'}),0.16693,0.73156,0.12152,0.727969807703828,0.995092415801613,1.0,-0.0005993107999999886,0.9868022285840127,-0.005885175228135827,0.15640243510045432,-0.013374282134450782,0.44704029233679565
frozenset({'Crop_Rice'}),frozenset({'Yield_tons_per_hectare_Medium'}),0.16641,0.73156,0.1222,0.7343308695390902,1.0037876176104354,1.0,0.0004611003999999974,1.0104297760687628,0.004526596642931169,0.15752091470410046,0.010322118682350716,0.4506855834928214
frozenset({'Crop_Soybean'}),frozenset({'Yield_tons_per_hectare_Medium'}),0.16737,0.73156,0.12296,0.7346597359144411,1.0042371588310475,1.0,0.0005188028000000094,1.0116821166403966,0.005067414177982705,0.15845973426807736,0.011547220661753562,0.45136945459399674
frozenset({'Crop_Wheat'}),frozenset({'Yield_tons_per_hectare_Medium'}),0.1675,0.73156,0.12132,0.7242985074626865,0.9900739617566386,1.0,-0.0012163000000000035,0.9736617583369424,-0.01189940439386709,0.1559904338210713,-0.02705070979479009,0.4450679480284617
frozenset({'Yield_tons_per_hectare_Low'}),frozenset({'Rainfall_mm_Low'}),0.18082,0.22359,0.11819,0.6536334476274748,2.9233572504471343,1.0,0.0777604562,2.2415848028101544,0.8031538149042208,0.4129341066312626,0.5538870540403585,0.5911174528266628
frozenset({'Rainfall_mm_Medium'}),frozenset({'Yield_tons_per_hectare_Medium'}),0.33357,0.73156,0.27211,0.815750816919987,1.1150839533599253,1.0,0.028083530800000034,1.456939973966809,0.15486478259114625,0.3431313207737511,0.31362992445234306,0.5938546856211286
frozenset({'Rainfall_mm_High'}),frozenset({'Yield_tons_per_hectare_Medium'}),0.44284,0.73156,0.35434,0.8001535543311353,1.0937634019508111,1.0,0.030375969599999997,1.3432312949152538,0.1538615272342895,0.43209033485354736,0.2555265770046764,0.6422578696255162
frozenset({'Yield_tons_per_hectare_High'}),frozenset({'Rainfall_mm_High'}),0.08732,0.44284,0.08618,0.9869445716903346,2.2286707878473817,1.0,0.04751121120000001,42.67650105263209,0.6040474823174853,0.19410784269561696,0.9765679009446739,0.590776052442584
frozenset({'Temperature_Celsius_Medium'}),frozenset({'Yield_tons_per_hectare_Medium'}),0.39998,0.73156,0.28866,0.7216860843042153,0.9865029311392304,1.0,-0.003949368799999964,0.9645223787279918,-0.022293781205203658,0.3424686788154898,-0.036782579704159823,0.5581337633506424
frozenset({'Temperature_Celsius_High'}),frozenset({'Yield_tons_per_hectare_Medium'}),0.40034,0.73156,0.295,0.7368736573912175,1.0072634608114406,1.0,0.0021272695999999813,1.0201943193468768,0.01202528664548318,0.3524913370773091,0.01979458125174145,0.5700607556462348
frozenset({'Weather_Condition_Cloudy'}),frozenset({'Yield_tons_per_hectare_Medium'}),0.33243,0.73156,0.24292,0.730740306229883,0.9988795262587935,1.0,-0.00027249079999999704,0.9969557501955089,-0.0016775003481438447,0.2958578440327865,-0.0030535455599651168,0.5313989135720468
frozenset({'Weather_Condition_Rainy'}),frozenset({'Yield_tons_per_hectare_Medium'}),0.33287,0.73156,0.24372,0.7321777270405864,1.0008443969607228,1.0,0.00020562279999999933,1.0023064812114413,0.0012646479037787554,0.2969623862265599,0.0023011735977737295,0.5326644007284511
frozenset({'Weather_Condition_Sunny'}),frozenset({'Yield_tons_per_hectare_Medium'}),0.33469,0.73156,0.24492,0.7317816486898324,1.000302980876254,1.0,7.418359999999957e-05,1.0008263740670604,0.00045526011430320706,0.2981992621723303,0.0008256917368217558,0.5332865266796529
frozenset({'Yield_tons_per_hectare_Low'}),frozenset({'Fertilizer_Used_False'}),0.18082,0.50098,0.15253,0.8435460679128415,1.683791903694442,1.0,0.0619427964,3.1895650901378576,0.49574255045549775,0.28818939293744217,0.6864776319843724,0.5740046599694353
frozenset({'Fertilizer_Used_False'}),frozenset({'Yield_tons_per_hectare_Medium'}),0.50098,0.73156,0.34239,0.6834404567048585,0.9342233811373757,1.0,-0.024106928799999927,0.8479921256069111,-0.12364658965270031,0.38464303769027697,-0.1792562334046396,0.5757338430935305
frozenset({'Fertilizer_Used_True'}),frozenset({'Yield_tons_per_hectare_Medium'}),0.49901,0.73156,0.38917,0.7798841706579027,1.066056332574092,1.0,0.02411424440000004,1.2195397341587768,0.12368164322407924,0.4625267411457096,0.1800185168302143,0.6559284705878501
frozenset({'Yield_tons_per_hectare_High'}),frozenset({'Fertilizer_Used_True'}),0.08732,0.49901,0.08155,0.9339212093449382,1.8715480838959904,1.0,0.0379764468,7.581706551126517,0.5102368599230079,0.16155552914140814,0.8681035736141203,0.548672394015368
frozenset({'Yield_tons_per_hectare_Low'}),frozenset({'Irrigation_Used_False'}),0.18082,0.4998,0.13779,0.7620285366662979,1.5246669401086392,1.0,0.04741616399999998,2.1019326981175914,0.42007745639465155,0.25383637602932774,0.5242473743828426,0.518859406388371
frozenset({'Irrigation_Used_False'}),frozenset({'Yield_tons_per_hectare_Medium'}),0.4998,0.73156,0.34898,0.6982392957182874,0.9544525339251564,1.0,-0.016653688,0.8895790478716352,-0.087094736477894,0.3954985380448333,-0.12412719520828726,0.5876373360870403
frozenset({'Irrigation_Used_True'}),frozenset({'Yield_tons_per_hectare_Medium'}),0.50019,0.73156,0.38258,0.764869349647134,1.045531944949333,1.0,0.016661003599999946,1.1416631544936653,0.08713125196367524,0.45053405089675796,0.12408489661426783,0.6439169865956704
frozenset({'Yield_tons_per_hectare_High'}),frozenset({'Irrigation_Used_True'}),0.08732,0.50019,0.07458,0.8540998625744388,1.7075508558236645,1.0,0.030903409199999995,3.4256993092621655,0.45401006384316833,0.14539995710915718,0.7080887988924568,0.5016016016524806
"frozenset({'Soil_Type_Chalky', 'Region_East'})",frozenset({'Yield_tons_per_hectare_Medium'}),0.04107,0.73156,0.02972,0.7236425614803993,0.9891773217239861,1.0,-0.0003251692000000028,0.971350731277533,-0.011280973611650447,0.0400048458090482,-0.029494257635228335,0.3821340370418017
"frozenset({'Region_East', 'Soil_Type_Clay'})",frozenset({'Yield_tons_per_hectare_Medium'}),0.04149,0.73156,0.03042,0.7331887201735358,1.002226365812149,1.0,6.757560000000135e-05,1.0061043902439024,0.0023175763615854187,0.04096252507978401,0.006067352754938792,0.38738554604554093
